state,max_scenario,max_analysis,max_value,min_scenario,min_analysis,min_value,std,mean,diff,majority,mid_value
WA,Electrification,v6.2jedi_low,1.2740415172445596,PTC ITC Ext,v6.2nei_low,0.7043631497844296,0.1479287536028126,0.8278089700920791,0,1.0,0.7427089810480281
OR,Low RE Cost,v6.2jedi_low,2.158568628567695,Low Demand Growth,v6.2jedi_low,0.6530776989922235,0.37800923488632693,0.9980714632034303,0,1.0,0.7159432918706985
CA,Electrification EnhancedFlex,v6.2jedi_high,2.0139211123666465,High RE Cost,v6.2nei_mid,1.1870504390501269,0.21359497183435788,1.425135704599602,0,1.0,1.3719095164665909
ID,Electrification,v6.2jedi_low,2.8933108441688606,High NG Price,v6.2jedi_low,0.8716062906789792,0.4383237353647503,1.5714072214821702,0,1.0,1.756077130875959
NV,Electrification EnhancedFlex,v6.2jedi_high,1.4842199262289977,Low Nuclear CCS Cost,v6.2jedi_low,0.7601531695973136,0.20107843450660445,1.1113394400684453,0,1.0,0.9062268088835616
UT,Electrification,v6.2jedi_low,1.0406359343603122,Low RE Cost,v6.2jedi_low,0.3708293582380737,0.18888183173222262,0.6945558345704944,0,1.0,0.6273528991463218
AZ,Electrification,v6.2jedi_low,1.301234805539362,Low NG Price,v6.2nei_low,0.7403211168635869,0.12895918936564355,0.9769056458814722,0,1.0,1.0185652829570078
MT,Electrification,v6.2jedi_low,0.9853420424606733,Low Nuclear CCS Cost,v6.2jedi_low,0.3762812008932171,0.16046241389759175,0.5858661222588042,0,1.0,0.40808920716238295
WY,High RE Cost,v6.2jedi_high,0.35332235414506186,Low Everything,v6.2jedi_low,-0.1776899941761771,0.14817183175566265,0.13027118180327749,1,0.8125,0.13441756299492316
CO,Low Trans,v6.2jedi_low,1.0229929970394354,High NG Price,v6.2jedi_low,0.5198015596303949,0.10798747454186156,0.748028282970347,0,1.0,0.7869877641396035
NM,Electrification EnhancedFlex,v6.2jedi_low,2.1774430837408425,Low Demand Growth,v6.2jedi_high,0.6943209845325223,0.3528995663591586,1.053570447764595,0,1.0,0.9985430886497118
ND,Electrification,v6.2jedi_low,2.4289983797031387,Low NG Price,v6.2jedi_high,0.4827150130861231,0.4549984686748976,0.9509061877076815,0,1.0,0.6081142019132376
SD,Electrification EnhancedFlex,v6.2jedi_low,2.632836280049517,Low NG Price,v6.2jedi_low,0.5512950235273707,0.521762905865851,1.280542345580351,0,1.0,1.2688370164170322
NE,High RE Cost,v6.2jedi_low,3.269932817972064,Low Everything,v6.2jedi_low,1.1996549808684902,0.41147465600817756,1.718332199232118,0,1.0,1.944782478747884
KS,Low Nuclear CCS Cost,v6.2jedi_low,3.1352585846598844,Low RE Cost,v6.2nei_high,0.860283091111417,0.4682607099416505,1.4393844680867287,0,1.0,0.9554366994707404
OK,High RE Cost,v6.2jedi_low,2.2264595120693302,High NG Price,v6.2jedi_low,0.7619856054251372,0.30437367811624544,1.1083574696694298,0,1.0,1.2524887224544314
TX,Electrification EnhancedFlex,v6.2jedi_low,1.4086792726280464,Low Trans,v6.2nei_low,0.8908856812864411,0.12760907452598266,1.042176908037283,0,1.0,1.0271515150071835
MN,Electrification EnhancedFlex,v6.2jedi_low,1.5339632095774256,Low Demand Growth,v6.2nei_low,0.7356000007174469,0.1744358299508973,0.947985756859933,0,1.0,0.8598373410187841
IA,Electrification EnhancedFlex,v6.2jedi_high,2.289775871648096,High RE Cost,v6.2jedi_low,0.6453809767120493,0.332063795781407,1.4304203084618283,0,1.0,1.3253529823905643
MO,Electrification,v6.2jedi_low,2.375629717358725,Reduced RE Resource,v6.2nei_high,0.9248322544494152,0.30109295510284717,1.2122986833261387,0,1.0,1.1866392094974458
AR,High Demand Growth,v6.2jedi_low,1.654387920133377,Low Demand Growth,v6.2nei_high,0.7946836975766806,0.19450939031154113,1.0711154381796775,0,1.0,1.0001697255388449
LA,Electrification EnhancedFlex,v6.2jedi_mid,1.5579986863221034,Low NG Price,v6.2nei_mid,0.6332039147349783,0.2111651701284211,0.961993821606522,0,1.0,0.9825222544422452
WI,Electrification,v6.2jedi_high,1.9724401324634688,Low Everything,v6.2nei_mid,0.7509276053190451,0.3067564280971771,1.1640511807237404,0,1.0,1.2502774795857037
IL,Low NG Price,v6.2jedi_high,1.1537972010602842,High NG Price,v6.2jedi_high,0.5861536669505762,0.14641631995047874,0.8322371861932366,0,1.0,0.7558914285602597
IN,Electrification EnhancedFlex,v6.2nei_low,1.5432813514883836,Low RE Cost,v6.2jedi_high,0.7221172848565773,0.21292036733583897,1.065323268568011,0,1.0,1.2159737434832063
KY,Electrification,v6.2jedi_low,1.753594300518614,High NG Price,v6.2jedi_high,0.6617777353898384,0.24436335444256843,1.3663071740752655,0,1.0,1.3677295406771168
TN,Electrification,v6.2jedi_low,1.1202049656073896,Low NG Price,v6.2nei_high,0.6853299979173316,0.08913788855074364,0.8511168633836846,0,1.0,0.9430632398110922
MS,High NG Price,v6.2jedi_low,3.192389483546058,Low NG Price,v6.2jedi_high,0.4939427544771393,0.642938863628745,1.1282520645143554,0,1.0,0.8062520222233599
MI,Electrification,v6.2jedi_low,1.6355013523743842,Low NG Price,v6.2nei_low,0.6751871912317585,0.27372486109837296,0.9295081207224553,0,1.0,0.7335926821167249
OH,Electrification,v6.2jedi_low,1.8766393856425532,High NG Price,v6.2nei_high,0.8935855248672829,0.2211447555034195,1.3216166015188355,0,1.0,1.3523331683396054
WV,High NG Price,v6.2jedi_high,0.8994010339868991,Low Demand Growth,v6.2jedi_high,0.06422513402769096,0.24914972477562253,0.37274482984413115,0,1.0,0.1979443058938425
NC,Electrification,v6.2jedi_high,1.8916038229069316,High RE Cost,v6.2nei_low,0.903578565007594,0.24231794476370833,1.0950100502361033,0,1.0,1.0454755696354654
AL,Electrification EnhancedFlex,v6.2jedi_low,0.9110903144037326,Reduced RE Resource,v6.2jedi_high,0.4291488379207632,0.12666623571359728,0.5799923046651959,0,1.0,0.5068576106146463
PA,Electrification,v6.2jedi_low,1.3197133802087522,High NG Price,v6.2jedi_high,0.4123252492569116,0.17103223468223286,0.8715823906904139,0,1.0,0.8706158608988241
VA,Electrification,v6.2nei_low,0.5120004922388577,High RE Cost,v6.2jedi_mid,0.2912774513717222,0.05620654443241989,0.37225863205487314,0,1.0,0.3180850046050643
SC,Low RE Cost,v6.2jedi_high,1.9803019536915103,Low Trans,v6.2nei_mid,0.8983182940992441,0.282846101177096,1.3676643698031636,0,1.0,1.3995952270945884
GA,Electrification,v6.2jedi_high,1.463753987407599,PTC ITC Ext,v6.2nei_low,0.7192033853751655,0.18386928501901198,0.9049084287975523,0,1.0,0.8399819174802022
VT,Electrification,v6.2jedi_low,2.6334460223958827,High RE Cost,v6.2jedi_low,0.6962945118629952,0.530587138446671,1.3065002664313965,0,1.0,1.469125923116564
NY,Electrification,v6.2jedi_low,0.7368586441149455,PTC ITC Ext,v6.2jedi_high,0.3275266881926525,0.0990202435317218,0.43618544687626537,0,1.0,0.38536784434720617
NJ,Electrification EnhancedFlex,v6.2nei_low,0.38481133027530456,High Trans,v6.2jedi_high,0.2514925810423425,0.034984209286478114,0.30345480315515755,0,1.0,0.2707451740271177
MD,Electrification,v6.2jedi_high,0.8253894082121112,High NG Price,v6.2jedi_high,0.3890550658672791,0.11385578241568074,0.5531375494258067,0,1.0,0.5051443283847458
FL,Electrification,v6.2jedi_high,2.025245567418608,High RE Cost,v6.2nei_low,0.9738722073944072,0.29039817330252726,1.3551662425429596,0,1.0,1.2275327472942643
NH,Electrification,v6.2jedi_low,1.9548046750386177,High RE Cost,v6.2nei_high,0.6661113194327992,0.28891868265231674,1.0273091017622848,0,1.0,0.962654717131886
MA,Electrification,v6.2jedi_high,0.4898351760768006,Low Demand Growth,v6.2nei_low,0.20602106427620828,0.08082984679268504,0.28085322284583786,0,1.0,0.2354215383870217
CT,Electrification,v6.2jedi_high,1.1058748207329945,Low Demand Growth,v6.2nei_low,0.6739182853012442,0.10380623586416722,0.7825841677263559,0,1.0,0.7771251667400509
DE,Electrification EnhancedFlex,v6.2jedi_high,7.557357771714567,Low Trans,v6.2jedi_low,0.8334650069990723,1.9336175302691625,2.5128558574074193,0,1.0,1.54782830054611
ME,Electrification EnhancedFlex,v6.2nei_low,1.5169832804115562,Low Everything,v6.2jedi_low,0.4852104544425088,0.23380795574989122,0.8130930904280914,0,1.0,0.7297765757810863
RI,Electrification,v6.2jedi_low,-0.09898947300847324,Mid Case Base Flex,v6.2jedi_high,-0.1757240717046361,0.020298030112158492,-0.15770631928928516,0,1.0,-0.1725237961687687
